Position,Job_Details
"
              Strategist - MediaMonks Korea","Description

MediaMonks Korea are looking for a full-time Digital Strategist who combines research and rigour to develop effective strategies for achieving digital success. We’re not looking for a digital marketer or a social media ‘guru’ but for someone who can identify the strategic direction brands and businesses should take in the digital space.

Role & Responsibilities
As our go-to Monk for digital strategy, you’ll play a central role in pitching for new projects and the strategic development of existing projects.Working on behalf of leading brands, you’ll help establish the strategic foundation for digital campaigns, creative content, brand sites and other award-winning projects.Expanding upon the brand’s strategy, you’ll work with the client team to develop the digital strategy, identifying what needs to be achieved and providing directions for how to achieve it.You’ll run workshops together with our clients — or whatever we’re calling meetings these days — to gather the key objectives, requirements and other success markers.Based on original research, you define the strategic scope and brief that allows our creative teams to excel, laying the groundwork on which successful projects can be built.You turn the problem into a plan by writing actionable project briefs; grounded in data and elevated by insights.Validating insights and ideas at every turn, you help to ensure the solutions we develop impact the client’s business in the best possible way, taking into account objectives as well as opportunity costs.
Requirements
For this role, we’re looking for someone with 2+ years of high-level experience developing digital strategies on behalf of high-profile brands.You’re not a brand-strategist-doing-digital but a true digital strategist who understands the online landscape through and through.You know how to analyse the full digital ecosystem using Market Research Skills like Benchmarking, a/b testing, search analysis and audience research.You understand ‘business and technology’ but talk about it in a simple way. You know how to steer big organisations through digital transformations, big or small.Your critical understanding of the digital landscape and trends enables you to ask the right questions and better-define what needs to be achieved in the first place.You can quickly grasp brands’ digital business objectives and translate them into measurable KPIs. You don’t just know where to go but also wh y, and how to get there.You’re equally capable and confident when it comes to presenting digital strategies to A-list clients, up to the C-level.You can provide solid strategic advice even under tight deadlines, tactfully narrowing the scope if need be instead of lowering the quality.You have a drive for creating clear and actionable strategy proposals and debriefs that are free of needless jargon and empty words, going beyond the obvious without slipping into the pitfall of bullshit.Your strategies are not just really good but also realistic; you have a clear understanding of what is needed to produce digital work.Last but not least, you’re a joy to work with: you’re great with clients and coworkers alike and know how to inspire teams to go the extra mile.
Benefits

Become Our Digital Strategy Monk

As part of MediaMonks, you’ll be part of the most awesome creative and production company on the planet, operating as ‘one office in fifteen locations’ with 1000+ Monks and counting. In addition to an unlimited supply of A-list clients, A+ colleagues and A-OK coffee, MediaMonks means working at a truly international company creative people would kill to work for. If you meet the profile, we’d love to meet you to tell you more about our super-fast-moving company, and the things we love outside work and.
We stand for equal-opportunity employment and welcome applications from people from all backgrounds. Please be attentive to the requirements and accompany your portfolio with a personal cover letter showing why you’re the right Monk for the role.
 

 

          직급
        

          대리
        




          업계
        


              광고·마케팅
            

              컴퓨터 소프트웨어
            

              인터넷
            




        고용형태
      

        풀타임
      





          직종
        


              사업개발
            

              영업"
"
              Business Strategy Lead","토스팀 소개모바일 금융 서비스 토스를 운영하는 ㈜비바리퍼블리카는 2015년 2월 공인인증서 없이 쉽고 빠르게 송금할 수 있는 간편 송금 서비스를 선보인 이래, 현재 40여 개 이상의 다양한 금융 서비스를 제공하며 1,800만 명이 사용하는 국내 대표 핀테크 기업으로 성장했습니다. 대한민국 금융 혁신을 선도하고 있는 토스팀에는 각 분야 최고 수준의 역량을 갖춘 약 700여 명 이상의 인재들이 모여 자율과 책임의 원칙 아래 상호 신뢰의 문화에서 일하고 있습니다.어렵고 복잡한 금융 경험을 혁신해 가슴 뛰는 변화를 함께 만들어 나가며, 최고의 동료들과 함께 성장할 수 있는 곳에서 일하고 싶지 않으신가요? 대한민국 금융 혁신을 위해 새로운 도전을 함께 할 멋진 동료를 기다립니다.
팀에 합류하시면 이런 업무를 합께 합니다· 토스팀 리더 승건님과 긴밀히 협업하며, 사업적 고민과 이슈를 논의하고 이를 현실화시킬 전략적 파트너입니다. 실무형 리더로 토스팀 구성원들의 충분한 신뢰를 얻어, 향후 여러팀을 리딩하고 운영하실 리더십으로 자리매김하시기를 기대합니다.· 토스팀 성공에 대한 확신과 애정을 바탕으로 일하는 방식과 문화적 가치를 함께 수호하고, 사회적 유의미한 혁신을 함께 만듭니다.· (Strategy) 국내외 산업에 대한 이해와 동향파악을 바탕으로, 주요 사업에 대한 전략과 신사업 방향성을 제시합니다.· (Product) 토스가 가진 데이터를 바탕으로 사업과 서비스, 제품에 새로운 방향성 제시합니다.· (Business) 시장의 니즈를 빠르게 파악하여, 이를 혁신할 아이템 발굴. 사업의 핵심과, 전략을 이해하여, 파트너쉽을 개발하고 팀이 그 목표에 맞게 사업을 개발해나가도록 조직을 운영합니다.· (Operation) 비즈니스 목표와 니즈에 맞추어 새로운 조직을 디자인하고, 토스팀 문화에 대한 이해를 바탕으로 최적의 조직 운영 방법을 모색합니다.· 이 밖의, 토스팀에 도움이 되는 다양한 전략적 인사이트를 제공하는 역할을 수행합니다.
이런 경험을 가진 분을 찾습니다· 주요 업무의 네가지 영역 중 적어도 1가지 이상의 영역에서 성공과 실패 경험이 있는 분이셔야 합니다.· 정의된 성공방식에서 벗어난 참신한 아이디어로, 팀에 새로운 인사이트를 제공해줄수 있는 분을 찾습니다.· 본인만의 큰 실패와 성공 사례를 통한 비즈니스적 러닝이 있으신 분을 찾습니다.· 다양한 비즈니스 케이스에 대한 전략 수립 및 조직운영 경험을 보유한 분을 찾습니다.· 데이터 기반의 의사결정과 문제해결에 능숙한 분을 찾습니다.· 토스팀의 조직문화와 일하는 방식이, 팀의 성공방식이라는 것에 깊이 공감하고 확신하시는 분을 찾습니다.· 단순 경영인, 매니저가 아닌 실무형 리더로 현업에 다양한 insight와 action item를 직접 찾아 제시하실 수 있는 분을 찾습니다.
이런 경험이 있다면 더 좋습니다· 조직을 운영해본 경험이나, 창업 경험이 있다면 더 좋습니다.· MBA 혹은 경영 관련 전공 석사 학위를 소지하셨다면 더 좋습니다.· 산업공학 또는 컴퓨터공학 관련 학위를 소지하셨다면 더 좋습니다.· 국내외 사업전략 수립, 전략기획 혹은 컨설팅 프로젝트 경험을 보유하셨다면 더 좋습니다.· 영어로 의사소통이 가능하신 분이면 더 좋습니다.
토스팀으로의 합류 여정· 서류 접수 > 직무 인터뷰 > 문화적합성 인터뷰 > 최종 인터뷰 > 최종 합격
동료의 한마디· 토스팀은 아직도 목마릅니다. 끝나지 않은 토스팀의 혁신을 함께 할 동료를 모십니다."
"
              Monetization Strategy - Korea","TikTok is a destination for short-form mobile videos. Our mission is to capture and present the world's creativity, knowledge, and moments that matter, directly from the mobile phone.
TikTok enables everyone to be a creator and encourages users to share their passion and creative expression through their videos. TikTok is based in Los Angeles, with global offices in London, Tokyo, Seoul, Shanghai, Beijing, Singapore, Jakarta, Mumbai, and Moscow. In early 2018, TikTok was one of the most downloaded apps in the world. TikTok is available worldwide for iOS and Android.
Job Description：- Develop monetization strategy in Korea by partnering with key stakeholders across predominantly sales/commercial functions.- Define key performance metrics and set KPIs to drive business growth.- Track business progress and provide consistent optimization for the business operation.- Collaborate with cross-functional teams to ensure effective cooperation.- Conduct market research and provide insights to the business team.
Qualifications：- Min 3 years experience working for internet companies, experience in digital advertising would be preferred.- Deep understanding of ads industry with demonstrable analytical skills.- Excellent communication, organizational, and problem-solving skills.- Fast learner, highly entrepreneurial with a good sense of judgment and original thinking.- Fluency in Mandarin and Korean would be a distinct advantage."
"
              Operations Strategy Manager, Korea","Lime operates electric scooters and bikes, but our mission is larger. We believe in transforming cities through green, affordable, and accessible transportation for everyone. Headquartered in San Francisco, USA, we operate in more than 120 cities in 31 countries globally, with plans to expand responsibly. To do that, we need great people.

What You'll Do
Gather marketplace intelligence, monitor market trends, and assess competitive landscape of the industryUtilize operational data to develop short term and mid term business strategiesConduct complex analyses to determine business strategy, market positioning, and execution strategyExecute strategic initiatives, including business development, strategic marketing, and risk mitigationPartner with Operations Managers and GM, as well as central / regional teams to assure a coordinated approach to strategy and executionUtilize strategic deep product knowledge to serve as the subject matter expert for the entire suite of growth tools

About You
3-5 years of experience in banking, consulting, corporate strategy, technology, or related experience; high-growth or subscription business experience is a plusProven track record of leading initiatives, hitting goals, and succeeding in a team environmentAdvanced problem solving and analytical skills, including expertise in Excel/sheetsExcellent communication and writing skills (fluency in Korean, business proficiency in English speaking, reading, writing)Experience in helping companies identify strategic growth opportunities in their core business, and in exploring those optionsExperience analyzing business performance and competitive landscapeExceptional attention to detailBachelor’s Degree from top universities in Korea (or global)

What We Offer
Opportunity to revolutionize transportation in your hometown with the leader in urban mobility solutionsA position that offers a variety of career and resume building experiences at the intersection of product and operationsWork with a team of fun and motivated individualsCompetitive salary and benefitsPlay a role in the transformation of urban mobility and sustainability

Lime is an Equal Opportunity Employer, but that’s only the start. We want people with different backgrounds, abilities, identities, and mindsets to join us—not just to do great work, but to build a better, more representative world."
"
              Business Strategy","매스프레소는 문제 검색, 질문답변, 맞춤형 개념학습 컨텐츠를 제공하는 교육 플랫폼 콴다(QANDA)를 운영하고 있습니다. 교육컨텐츠를 디지털화해 나누고 연결해 전 세계 모두에게 동등하고 효과적인 교육을 제공한다는 비전으로 제품 개발과 시장 확장에 집중한지 5년, 누적 다운로드 1,400만건, 글로벌 전략 국가 (일본, 베트남, 태국, 인도네시아 외) 내 모바일 어플리케이션 교육 차트 1위 석권, Samsung Ventures, Softbank Asia Ventures, Legend Capital 등 동북아시아 최고의 투자기관에서 투자를 유치했습니다. 현재는 국내외 오피스에서 130명의 팀원과 함께 글로벌 교육시장에 새로운 패러다임을 일으키며 고속성장 중입니다.

지금 매스프레소에서는 Global No. 1 Education Platform을 향한 모험을 함께하실 팀원을 찾고 있습니다.

스마트하고 열정적인 팀원들과 함께하고 싶으신 분, 나의IMPACT를 피부로 느끼며 성장하고 싶은 분, 교육의 미래를 바꾸고 싶으신 분은 언제든지 환영합니다.

사업전략기획 담당자는 CFO 직속의 Strategy팀에서 매스프레소의 글로벌 확장 로드맵, Business Model 고도화, 매출전략 등 사업 전반에서 분석, 전략기획, 실행, 추적 및 결과 도출까지 수행해 매스프레소팀이 더 빠르게 비전에 도달할 수 있도록 지원합니다.

[주요 업무]
시장, 산업, 정책, 동종사 동향 조사 및 사업 전략 로드맵 수립사업 전략 로드맵에 따른 세부 전략과 미션 설정, 실행결과 추적 및 개선핵심성과지표 (KPI) 설정 및 달성 지원IR Deck, 사업보고서 등 주요 전략기획 문서 관리[자격 요건]
3년 이상의 사업/경영/전략기획 업무를 담당하신 분IT, Online Platform 비지니스에 대한 이해도 및 기술트렌드에 대한 관심을 가지신 분문제 정의, 전략적 사고, 빠른 실행력을 가지신 분대내외 파트너들과 우수한 커뮤니케이션을 할 수 있는 분Business Level English Speaking and Writing[우대사항]
전략컨설팅 회사 또는 스타트업 전략팀 경험데이터 분석을 통한 사업 전략 수립 경험정의된 방식과 틀에서 벗어난 과감한 도전을 기획하고 실행한 경험시장과 회사의 빠른 변화와 성장에서 발생하는 예기치 못한 상황에 대한 대처능력과 회복탄력성[기타 사항]
제출 서류: 자유양식의 국문 이력서 (PDF)채용 절차: 서류 전형 → 면접 전형 → 최종 합격근무 형태: 정규직근무 지역: 서울특별시 강남구 테헤란로 132 12층 (2020년 12월 선릉역 부근 이사 예정)[복리후생]
코어타임 11시-5시를 기준으로한 자유로운 출퇴근, 유연근무제 운영눈치 없는 휴가 사용과 무제한 휴가 제도배우자와 함께 건강검진 지원점심&저녁 식사비 지원월 10만원의 자기개발비 지원 (도서, 세미나, 교육)월 10만원의 체력단련비 지원 (피트니스, 요가, 필라테스 등)팀 커뮤니케이션 활성화를 위한 티타임 및 식사 비용 별도 지원무료 스낵바, 에스프레소 머신, 음료 등의 무제한 간식 지원맥북, 모니터 등의 고사양 IT장비 지원사내 동아리 활동 지원 (밴드, 탁구, 독서모임 운영 중)매년 떠나는 해외 워크샵 (2019년 보라카이, *2020년은 코로나로 인해 미실시)

이력서에 지원분야의 경력 사항을 최대한 구제적이고 상세히 기술해 주시길 바랍니다.

모든 서류는 PDF 파일로 제출해주시기 바랍니다.

입사지원서 내용에 허위사실이 판명될 경우 입사가 취소될 수 있습니다."
"
              Business Intelligence Analyst, Korea","The Role

Play a role as a consultant and coordinator in helping sales leaders to succeed in achieving quarterly targets and long-term goals by devising global and local business strategy and monitoring, assessing and analyzing business trend and sales performance. Coordinate amongst different functions and teams to execute sales target and country initiatives.

Responsibilities

Business Strategy Planning and Analysis
KPI Management
Own and manage monthly and quarterly dashboard for tracking and reporting metrics for the Korea Sales team. Manage the sales target assignment and work out battle plan to boost sales and delivery. Track and report sales profitability and productively (operating cost, revenue and sales progress/milestones) and work closely with relevant functional teams to control any variance, challenge and escalate issues early and with conviction.Market Intelligence analysis and development: Analyze data trends, highlight issues and work with relevant parties to resolve issues. Develop intuitive and reliable data modeling and process to define business growth strategy and planning. Act as an adviser, ultimately helping business stakeholders to identify and overcome challenges thereby helping to enhance the productivity of Tesla’s business organization.Communicate effectively with field sales & delivery team to execute processes as well as executives to provide updates and escalation of key issues. Drive and facilitate the cross-function engagement and cooperation to maximize the outcome from Sales & Delivery programs.Manage Sales and Delivery projects based on country initiatives.
Governance
Focus on building the processes and systems to drive business efficiency and excellence in local market. Adopt and refine sales governance structure to best deliver strategic aims and solve the challenges.Monitor and analyze business artifacts to centralize governance processes. Provide support to the field sales and delivery organization on process adoption, business operations processes, and operational reports.Work with HR in planning people strategy and talent pipeline. Track and report staff attrition and hiring. Highlight any issues and concerns to senior management in a timely mannerEnsure consistency, reliability and, quality of all standard reporting deliverable.
Regulatory & Business Conduct
Displace exemplary conduct and live by the company’s values and Code of ConductTake personal responsibility for embedding the highest standards of ethic, including regulatory and business conduct, across the organization. This includes understanding and ensuring compliance with, in letter and spirit, all applicable guidelines and the Tesla Code of Conduct.Lead the Korea Sales team to achieve the outcomes set out in the company’s Conduct Principles; fair outcomes for customers, effective retail sales market compliance; the right environment.Effectively and collaboratively identify, escalate, mitigate and resolve risk, conduct and compliance matters.

Requirements
5-7+ years of experience in global business development, sales or management consultingExcellent communication and networking skills with bold mindsetDemonstrable analytical skills and proficiency in MS excelExcellent problem-solving skills for building strategy and improve work processWillingness to work proactively in a fast-paced environment Business level fluency in English"
"
              Growth Strategy Planning & Execution","Who You Will Work With

As the Global Growth & Operations Strategy Manager, you will be part of the Global Growth & Operations Team of Tridge HQ, working with internal teams (Planning, Sales, Marketing and Data) in our Seoul Office. Operations team work closely with Global Engagement Managers, our regional managers from 40+ countries. As such, your daily works will involve assigning and reviewing global Engagement Managers' projects and developing strategies in cooperation with them.

People at Tridge are executioners, and we work closely with suppliers and buyers from all over the world. With over 50 dedicated Engagement Managers and 50 HQ members, we serve suppliers and buyers in more than 150 countries, in order to achieve extraordinary impact in the old, traditional trading industry.

What You Will Do
 Manage Global Engagement Managers (remote employees from 40+ different countries) by reviewing their daily projects, solving any raised issues from them, evaluating their performance and providing constructive feedbacks Develop global penetration & sales strategy with Engagement Managers by identifying what our clients' (suppliers and buyers) pain points are and delivering outcomes that would satisfy their needs Identify business opportunities in the global trading industry, global agriculture intelligence industry and develop concrete action plans to develop business strategies from the scratch Enhance and optimize internal global operations; plan, implement & execute, evaluate procedures and policies Develop External presentation materials to propose Tridge's value proposition effectively to potential & existing client pool Work closely with the engineering and data team to set up and enhance the operational works. 

Who You Are
 Bachelor's degree required, Business Administration preferred 2:5 years of experience in relevant fields (Strategy, Operations, Sales & Marketing, Business Development, Trading, etc.) Professional experience preferably in leading Start-Up, Investment Banking, Consulting, and Multinational Corporation sector Excellent verbal and written communication skills (English and Korean) Proven track record of driving improvements in operational efficiency Ability to strategize globally, developing scalable action plans and rapidly execute  Ability to operate successfully in fast-changing mandates, with great organizing & planning skills Ability to work effectively with global employees at all levels in an organization and being open to new ideas, and comfortable giving and receiving constructive feedback Ability to operate multiple projects simultaneously and meeting tight deadlines 

--

About Tridge

최고의 인재들과 최고의 문제를 풀어 최대 다수의 사람들과 그 혜택을 나눌 수 있는 곳.

우리는 높은 이상을 가진 자들과 일하기를 원합니다. Tridge에 모인 사람들은 단순히 ""최고의 직장"", ""빠르게 성장하는 회사"", ""높은 수준의 주인의식""을 추구해서 모인 사람들이 아닙니다. 이러한 것들은 어쩌면 How에 해당하는 것으로 최선의 결과를 내기 위해 당연히 필요한 것들이겠지요. 우리가 진정 추구하는 것은, 세상에 널리 퍼져 있는 문제이지만 사람들이 당연하게 생각하는, ""정보 비대칭"", "" 시장 불균형"", ""소득의 불균형"", ""에이전트 문제"" 등을 같이 해결하는 것입니다. 팀 트릿지는, 많은 국제 기구들이 그러한 문제들을 풀기 위해 노력해 왔음에도 불구하고 아직도 개선할 점들이 너무나 많음에 주목하고, 가장 지속가능하고, 가장 경제적이면서 합리적인 방법으로 문제를 해결하여, 전세계 많은 사람들이 그 혜택을 공유하기를 바라는 사람들입니다. 문제의 크기가 크기 때문에 우리는 최고의 인재를 찾을 수 밖에 없으며, 가장 효율적으로 일해야 하며, 각자 맡은 부분에 대해 책임감을 최대한 발휘하기 위해 주인의식이 중요할 수 밖에 없습니다. 이러한 방법론은 선택이 아니라 필수입니다.

높은 수준의 교육을 받고, 높은 이상을 가지고 있으며, 좋은 사람들과 끊임없는 논의를 통해 인생의 가치를 찾고자 하는 열망이 있는 분들과 같이 하고 싶습니다. 우리가 나누는 모든 대화와 행동의 결과에서 하루하루의 의미를 재발견하실 수 있습니다.

Team Tridge는 다음과 같은 영역에서 성장하고 있습니다:
 Data-driven intelligence: +1 Billion 이상의 가격 포인트와 +10 Billion의 무역 데이터 접점 관리 Global expansion: 40개 국가에서 근무 중인 90명 규모의 팀을 연내 150:200명으로 확장 계획 및 in-house 관리 소프트웨어 구축 Trusted online reputation: Google SEO 최적화로 인한 다국적 기업, 컨설팅, 대학 등 100만 이상의 top tier business traffic 유입 Cultural diversity: 다양한 국적의 사람들과 일하며 빠른 속도로 변화하는 수평적인 조직 문화 지향 Trade digitalization: B2B 글로벌 무역시장의 디지털화 선도 

Tridge Talent:
 팀 중심적인 마인드를 갖고 있는 사람 스스로 목표를 높게 설정하고 달려가는 사람 업무를 높은 수준으로 수행함으로써 개인적인 성장을 이뤄내는 사람 불확실하고 빠르게 돌아가는 상황을 견디고 돌파할 수 있는 사람 문제를 지적하기 보다 해결하는 사람 업무에 대해 책임지는 사람 

Perks and Benefits:
 성과에 따른 빠른 승진 및 보상제도 자율적 업무환경 업무관련 컨퍼런스/교육비 지원 팀런치, 간식 및 저녁식사 제공 종합검진 지원 넓고 쾌적한 사무공간, 카페테리아, 라운지 및 휴게실 보유 (침대 및 안마의자) 옥상정원 및 농구장 보유 (사내농구리그 진행) 

Other Information
 제출서류: 국문 또는 영문 이력서 및 경력기술서 채용형태: 정규직 (수습기간 3개월) 근무시간: 월 – 금, 09:00 – 19:00 근무위치: 서울특별시 서초구 방배로 226 넥센강남타워 5-6층"
"
              Enterprise Account Executive","Dubbed an ""open-source unicorn"" by Forbes, Confluent is the fastest-growing enterprise subscription company our investors have ever seen. And how are we growing so fast? By pioneering a new technology category with an event streaming platform, which enables companies to leverage their data as a continually updating stream of events, not as static snapshots. This innovation has led Coatue Management, Altimeter Capital and Franklin Templeton to join earlier investors Sequoia Capital, Benchmark, and Index Ventures in the recent Series E financing of a combined $250 million at a $4.5B valuation. Our product has been adopted by Fortune 100 customers across all industries, and we’re being led by the best in the space—our founders were the original creators of Apache Kafka®. We’re looking for talented and amazing team players who want to accelerate our growth, while doing some of the best work of their careers. Join us as we build the next transformative technology platform!

About The Role

TheEnterprise Account Executive will play a key role in driving Confluent’s sales activities in region. This role includes activities developing and executing on the go-to-market strategy for your territory. The ideal candidate needs to have experience selling complex Database, Messaging, Big Data, Open Source and/or SaaS into large corporate and multi national companies.

Responsibilities
Build awareness for Kafka and Confluent within large enterprisesAggressively prospect, identify, qualify and develop sales pipelineClose business to exceed monthly, quarterly and annual bookings objectivesBuild strong and effective relationships, resulting in growth opportunitiesBuild and maintain relationships with new and existing Confluent partnersCreate and execute go to market plans that are based on viral methods and organic growth

What We're Looking For
At least 5+ years of outside sales experience Deep experience selling within the Database, Open Source, Messaging or Big Data space. An ability to articulate and sell the business value of big data and the big impact on businesses of all sizesExperience selling to developers and C levelsSignificant experience in a Sales and/or Business Development role within a similar start up and high growth organization

Come As You Are

At Confluent, equality is a core tenet of our culture. We are committed to building an inclusive global team that represents a variety of backgrounds, perspectives, beliefs, and experiences. The more diverse we are, the richer our community and the broader our impact.

Click here to review our California Candidate Privacy Notice , which describes how and when Confluent, Inc., and its group companies, collects, uses, and shares certain personal information of California job applicants and prospective employees.
 

 

          직급
        

          대리
        




          업계
        


              컴퓨터 소프트웨어
            

              컴퓨터 네트워킹
            

              IT
            




        고용형태
      

        풀타임
      





          직종
        


              영업
            

              사업개발"
"
              Lead of Digital Operations","Become a Part of the NIKE, Inc. Team 
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game. The NIKE, Inc. Supply Chain team is the engine that propels product around the world. Supply Chain experts ensure that every year, almost a billion units of footwear, apparel and equipment arrive at the right place, at the right time. To ensure this complex job goes off without a hitch, Supply Chain teams work with a network of more than 50 distribution centers, thousands of accountants, and more than 100,000 retail stores worldwide — making the impossible happen every single day. 
WHO ARE WE LOOKING FOR?
Digital Operations Lead is critical position to enable and deliver double digits growth of digital business in Korea Marketplace. You will support general operations and health of the business by providing actionable insights to deliver business results. You will analyze and influence business decisions through tradeoffs with cross functional partners to run the business profitably. You will drive change in the organization by making analytics part of day-to-day business strategy to ensure better quality decisions while keeping the marketplace clean. You will lead the sustainable performance management cycle to drive decision making to maximize revenue and margin. You are responsible for providing relevant and accurate data, highlighting risks and opportunities, for internal and external stakeholders.

WHAT WILL THE TALENT WORK ON?
- Manage day-to-day digital fulfillment to ensure all KPI and SLA are met and monitor & measure the health of the business through identifying and deploying success metrics
- Cross functional working to offer flawless & seamless delivery for the premium consumer experience at Nike Direct Stores (NIKE.COM and Nike Owned / Factory Stores)
- Lead and participate ""business analyst"" network across the organization to leverage learnings and drive best practices
- Define, develop and execute readiness plans for the holiday and other major consumer moments to fulfill up to 9X consumer demand peaks (vs. average) with cross functional teams and external partners - 3PL and last mile vendors
- Collaborate with NDDC Business & Customer Service (CS) team to respond and resolve consumer claims and further optimized End2End processes while leading digital and O2O service acceleration including the Post-Purchase Consumer Experiences covering Deliver 2 Promise (Estimated Delivery Date, EDD), Unboxing, Hyperlocal Customization, Consumer Returns and Repairs, Member differentiation and Sustainability
- Track, trace, and communicate Seasonal delivery performance and recommend solutions to internal key stakeholders
- E2E planning and influencing of the business results; connecting analytics and the business (e.g. set receiving & shipping goal, synchronize and optimize shipping plans vs. Financial expectations, Full price inventory optimization and decision making)

WHO WILL YOU WORK WITH?
Korea Marketplace Operations (MPO) team is one of functions in Korea Operations & Logistics division.
Digital Operations Lead will be working with cross functional teams - Nike Direct Digital Commerce (NDDC), Nike Direct Stores (NDS), Demand Supply Management (DSM), Finance. Nike Technology and CSC (Nike owned wholesale distribution center). This position also collaborating and managing 3rd party logistics and external last mile delivery partner.
Digital Operations Lead reports to Nike Direct Marketplace Operations (MPO) Manager. WHAT YOU BRING TO NIKE
- Minimum of 5 years experiences in Digital and eCommerce fulfillment and/or distribution operations in FMCG or consumer industry
- Bachelors or Master's degree in Business, Operations, Logistics, Supply Chain, Industrial Engineering or related field is strongly preferred - Manage and lead through ambiguity
- Proven capability of solving complex business problems though process analysis and insights
- Ability to clearly articulate goals and objectives and able to work independently and cooperatively in a diverse group
- Ability to communicate effectively, actively and cross-functionally to ensure thorough understanding of business plans and consumer needs and competitive landscape
- Ability to prioritize & manage multiple tasks
- Good data analysis and reporting management skills
- High level fluency in English & Korean 
NIKE, Inc. is a growth company that looks for team members to grow with it. Nike offers a generous total rewards package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every  Nike employee shares one galvanizing mission: To bring inspiration and innovation to every athlete* in the world. 
NIKE, Inc. is committed to employing a diverse workforce. Qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, gender expression, veteran status, or disability."
"
              Strategic Data Analytics Specialist","Position Purpose

Develop data-driven consumer, brands and trade insights based on various data sets for enhancement of portfolio, activation and communications strategies. Identify consumer patterns by utilizing statistical modeling, machine learning and pattern analysis to translate data insight to actionable strategic recommendations.

Main Areas of Responsibility
 Advanced Data Analysis Utilize various data science methodologies for advanced data analysis Provide analysis-driven insights to business stakeholders to influence the decision-making process of product portfolio, strategy and execution of marketing/sales activities Data Visualization Develop logical insight visualization to support end-user for knowledge enhancement and insight based decision making Communicate with different stakeholders to identify specific reporting needs and delivery Analyze issues in order to provide guidelines and approaches to off-shore team to address any problems Strategic Data Insight Analysis & Projects Support the implementation and development of analysis, reports, and data sources to enhance the company performance through solid insight generation across all aspects of our business Ensure consistency in terms of data and format across the analysis platforms Ad-hoc analysis and follow up with vendor based on business requirements Data Governance Management Manage the consumer data with related tools, integrating internal and external data Ensure consistency and efficiency in terms of usage of data & tools Ad-hoc data & system support based on business requirements Documentation Development Create the detailed functional designs of the any analysis Maintain a local Data Dictionary updated over time Training materials adapted to the different users profiles (power users vs. end users) Issues Tracking, Investigation & Fix Provide end users with the required level of support in all analytics related topics Perform any other tasks given by the direct manager Other tasks and duties related to the delivery of roles and responsibilities.
Requirements

Education 
 Four year college degree or equivalent apprenticeship in Statistics, MIS, Computer Science, Systems Engineering or a related Information Technology field.
Work & Key Experience 
 2+ years experience with statistical programming languages (i.e. SAS, R, Python) 2+ years experience using relational databases to query data (i.e. SQL, SAS Data Step, R & Python Packages) Previous working experience with data analysis design and data modeling
(ie. Regression Model, Classification/Cluster, AI Machine Learning)
 Previous working experience in Business Intelligence and/or Data Visualization tools
(i.e. PowerBI or any other BI tools)
 Previous experience with CRM system data (i.e. Siebel Sales) would be plus Previous experience with spatial statistical data would be plus Previous experience in the FMCG industry would be plus
Languages & Computer Skills 
 Fluency in English is a core requirement Strong understanding of database structure and design Strong communication and presenting skills"
